method,mvtec_current,mvtec_expected_pass,visa_current,visa_expected_pass,notes
Baseline,91.2 / 83.2 / 91.6 / 96.4,91.2 / 83.2 / 91.6 / 96.4,95.5 / 86.7 / 82.0 / 85.3,95.5 / 86.7 / 82.0 / 85.3,Original AnomalyCLIP fixed-prototype baseline
Direct wavelet fusion / no adaptation,80.0 / 72.9 / 93.7 / 97.4,88.7 / 80.4 / 92.9 / 96.9,暂无完整对应结果,94.6 / 85.1 / 81.6 / 84.8,Negative control: uses W at map level and does not adapt prototypes
Semantic prototype adaptation,91.8 / 86.0 / 94.4 / 97.6,91.6 / 85.2 / 93.7 / 97.1,96.2 / 91.3 / 84.6 / 87.4,96.0 / 90.4 / 83.7 / 86.9,CLIP-only patch evidence selection using S0 only and no wavelet W
Wavelet prototype adaptation no conservative,91.7 / 85.7 / 94.5 / 97.6,91.7 / 85.8 / 93.9 / 97.2,暂无完整对应结果,96.1 / 91.3 / 84.1 / 87.0,W participates in patch evidence but conservative gate is removed
Full wavelet prototype adaptation,91.8 / 86.0 / 94.4 / 97.6,91.8 / 86.2 / 94.1 / 97.4,96.2 / 91.3 / 84.6 / 87.4,96.2 / 91.7 / 84.3 / 87.3,Boundary-aware W plus conservative update
