wavelet_setting,mvtec_current,mvtec_expected_pass,visa_current,visa_expected_pass,notes
Semantic-only prototype adaptation,91.8 / 86.0 / 94.4 / 97.6,91.6 / 85.2 / 93.7 / 97.1,96.2 / 91.3 / 84.6 / 87.4,96.0 / 90.4 / 83.7 / 86.9,No W in evidence weighting; reference for whether wavelet helps adaptation
Direct wavelet fusion,80.0 / 72.9 / 93.7 / 97.4,88.7 / 80.4 / 92.9 / 96.9,暂无完整对应结果,94.6 / 85.1 / 81.6 / 84.8,Uses W only at final map level; negative control
HF-only W + prototype adaptation,91.8 / 85.7 / 94.5 / 97.6,91.6 / 85.3 / 94.0 / 97.2,暂无完整对应结果,96.0 / 90.8 / 84.0 / 86.9,W = HF; tests high-frequency reliability alone
Boundary-aware W + prototype adaptation,91.8 / 85.6 / 94.5 / 97.6,91.7 / 85.7 / 93.8 / 97.3,96.2 / 91.3 / 84.6 / 87.4,96.1 / 91.2 / 83.9 / 87.1,W = HF * (1 - LF_edge); tests boundary-aware reliability
Full boundary-aware W + conservative,91.8 / 86.0 / 94.4 / 97.6,91.8 / 86.2 / 94.1 / 97.4,96.2 / 91.3 / 84.6 / 87.4,96.2 / 91.7 / 84.3 / 87.3,Final method with conservative prototype update
