dataset,method,pixel_auroc,pixel_aupro,image_auroc,image_ap,result_type,improvement_vs_baseline,notes
MVTec,AnomalyCLIP baseline,91.2,83.2,91.6,96.4,current,-,Cached baseline result
MVTec,Ours (unnamed),91.8,86.2,94.1,97.4,current_reproduced,+0.6 / +3.0 / +2.5 / +1.0,Reproduced current result; replaces earlier erroneous 91.8 / 86.0 / 94.4 / 97.6 record
VisA,AnomalyCLIP baseline,95.5,86.7,82.0,85.3,current,-,Original AnomalyCLIP baseline
VisA,Ours (unnamed),96.2,91.7,84.3,87.3,current_reproduced,+0.7 / +5.0 / +2.3 / +2.0,Reproduced current result; replaces earlier erroneous 96.2 / 91.3 / 84.6 / 87.4 record
