method,mvtec_current,visa_current,notes
Baseline,91.2 / 83.2 / 91.6 / 96.4,95.5 / 86.7 / 82.0 / 85.3,Original AnomalyCLIP fixed-prototype baseline
Direct wavelet fusion / no adaptation,88.7 / 80.4 / 92.9 / 96.9,94.6 / 85.1 / 81.6 / 84.8,Negative control: uses W at map level and does not adapt prototypes
GlobalRef,91.2 / 84.3 / 93.1 / 96.9,95.8 / 89.2 / 83.2 / 86.4,Diagnostic control: uses a fixed/global reference instead of the image-conditioned reference; provenance recorded in narrative_workspace/GLOBALREF_EXPERIMENT_RECORD.md
Semantic prototype adaptation,91.6 / 85.2 / 93.7 / 97.1,96.0 / 90.4 / 83.7 / 86.9,CLIP-only patch evidence selection using S0 only and no wavelet W
Ours w/o conservative update,91.7 / 85.8 / 93.9 / 97.2,96.1 / 91.3 / 84.1 / 87.0,Wavelet reliability participates in patch evidence but conservative gate is removed
Ours (unnamed),91.8 / 86.2 / 94.5 / 97.6,96.2 / 91.7 / 84.6 / 87.4,Boundary-aware wavelet reliability plus conservative update; unified to best available values
