cls_name,defect_type,img_path,gap_generic,gap_detail,gap_delta,mask_mean_delta,bg_mean_delta,top_hit_delta,detail_prompt
tile,crack,/Users/bytedance/Downloads/mvtec_anomaly_detection/tile/test/crack/016.png,0.13439615070819855,0.4101232886314392,0.27572713792324066,0.31976987421512604,0.04404272325336933,0.07677972418934026,a photo of a tile surface with a medium-sized irregular crack in the central region.
tile,crack,/Users/bytedance/Downloads/mvtec_anomaly_detection/tile/test/crack/010.png,0.388931542634964,0.5902813076972961,0.20134976506233215,0.24657189846038818,0.04522212967276573,0.04099888184867684,a photo of a tile surface with a medium-sized irregular crack in the lower left region.
wood,liquid,/Users/bytedance/Downloads/mvtec_anomaly_detection/wood/test/liquid/008.png,0.23078316450119019,0.4991840422153473,0.2684008777141571,0.3120790421962738,0.0436781570315361,0.10622437569884458,a photo of a wood surface with a large diagonal elongated liquid stain in the central region.
wood,scratch,/Users/bytedance/Downloads/mvtec_anomaly_detection/wood/test/scratch/016.png,0.11518125981092453,0.30204272270202637,0.18686146289110184,0.21660208702087402,0.02974061109125614,0.08535221766679091,a photo of a wood surface with a large irregular scratch in the right region.
leather,glue,/Users/bytedance/Downloads/mvtec_anomaly_detection/leather/test/glue/001.png,0.6056514382362366,0.8376662731170654,0.23201483488082886,0.25622308254241943,0.024208199232816696,0.11479686917629518,a photo of a leather surface with a small irregular glue in the left region.
carpet,thread,/Users/bytedance/Downloads/mvtec_anomaly_detection/carpet/test/thread/013.png,0.30739477276802063,0.46597909927368164,0.158584326505661,0.19205641746520996,0.03347206860780716,0.06932538203503535,a photo of a carpet texture with a large diagonal elongated thread-like defect in the central region.
hazelnut,crack,/Users/bytedance/Downloads/mvtec_anomaly_detection/hazelnut/test/crack/006.png,0.44675010442733765,0.6165595054626465,0.16980940103530884,0.20046016573905945,0.03065074235200882,0.07938874394334705,a photo of a hazelnut with a large irregular crack in the right region.
hazelnut,hole,/Users/bytedance/Downloads/mvtec_anomaly_detection/hazelnut/test/hole/012.png,0.5743977427482605,0.7351680994033813,0.16077035665512085,0.192568838596344,0.03179848566651344,0.0708162504658964,a photo of a hazelnut with a medium-sized irregular hole in the central region.
