dataset,method,delta_pixel_auroc,delta_pixel_aupro,delta_image_auroc,delta_image_ap
MVTec,Direct wavelet fusion,-2.8999999999999915,-4.799999999999997,-0.7999999999999972,-0.19999999999998863
MVTec,HF-only W + prototype adaptation,0.0,0.09999999999999432,0.29999999999999716,0.10000000000000853
MVTec,Boundary-aware W + prototype adaptation,0.10000000000000853,0.5,0.09999999999999432,0.20000000000000284
MVTec,Full boundary-aware W + conservative,0.20000000000000284,1.0,0.3999999999999915,0.30000000000001137
VisA,Direct wavelet fusion,-1.4000000000000057,-5.300000000000011,-2.1000000000000085,-2.1000000000000085
VisA,HF-only W + prototype adaptation,0.0,0.3999999999999915,0.29999999999999716,0.0
VisA,Boundary-aware W + prototype adaptation,0.09999999999999432,0.7999999999999972,0.20000000000000284,0.19999999999998863
VisA,Full boundary-aware W + conservative,0.20000000000000284,1.2999999999999972,0.5999999999999943,0.3999999999999915
