dataset,method,metric,value
DTD-Synthetic,CoOp,Pixel-AUPRO,
DTD-Synthetic,AdaCLIP,Image-AUROC,95.5
DTD-Synthetic,AdaCLIP,Image-AP,97.0
DTD-Synthetic,AdaCLIP,Pixel-AUROC,97.7
DTD-Synthetic,AdaCLIP,Pixel-AUPRO,75.0
DTD-Synthetic,AnomalyCLIP,Image-AUROC,93.5
DTD-Synthetic,AnomalyCLIP,Image-AP,97.0
DTD-Synthetic,AnomalyCLIP,Pixel-AUROC,97.9
DTD-Synthetic,AnomalyCLIP,Pixel-AUPRO,92.3
DTD-Synthetic,AA-CLIP,Image-AUROC,93.3
DTD-Synthetic,AA-CLIP,Image-AP,97.8
DTD-Synthetic,AA-CLIP,Pixel-AUROC,96.4
DTD-Synthetic,AA-CLIP,Pixel-AUPRO,85.9
Average,CLIP,Image-AUROC,60.2
Average,CLIP,Image-AP,72.5
Average,CLIP,Pixel-AUROC,42.3
Average,CLIP,Pixel-AUPRO,15.2
Average,WinCLIP,Image-AUROC,79.0
Average,WinCLIP,Image-AP,82.2
Average,WinCLIP,Pixel-AUROC,79.5
Average,WinCLIP,Pixel-AUPRO,51.1
Average,VAND,Image-AUROC,79.4
Average,VAND,Image-AP,83.7
Average,VAND,Pixel-AUROC,86.4
Average,VAND,Pixel-AUPRO,65.2
Average,CoOp,Image-AUROC,68.4
Average,CoOp,Image-AP,76.1
Average,CoOp,Pixel-AUROC,25.4
Average,CoOp,Pixel-AUPRO,4.2
Average,AdaCLIP,Image-AUROC,87.0
Average,AdaCLIP,Image-AP,90.2
Average,AdaCLIP,Pixel-AUROC,94.0
Average,AdaCLIP,Pixel-AUPRO,52.5
Average,AnomalyCLIP,Image-AUROC,86.5
Average,AnomalyCLIP,Image-AP,89.6
Average,AnomalyCLIP,Pixel-AUROC,95.0
Average,AnomalyCLIP,Pixel-AUPRO,84.8
Average,AA-CLIP,Image-AUROC,87.7
Average,AA-CLIP,Image-AP,90.6
Average,AA-CLIP,Pixel-AUROC,95.5
Average,AA-CLIP,Pixel-AUPRO,79.8
